,dissimilarity,correlation,homogeneity,contrast,ASM,energy,label
90,12.46418572597665,0.7196417118938615,0.0952325872237553,328.63591333936324,0.0002682021303677727,0.016376877918815074,DagingSapi
91,16.90433378381475,0.6684233474640058,0.08806904791001686,672.372529033145,0.00026970010224107275,0.01642254859152722,DagingSapi
92,15.25979007567041,0.5424860449107144,0.09732529693527009,548.0238169961995,0.00039720046246950703,0.019929888671779052,DagingSapi
93,22.548313725490175,0.4230371130646575,0.05760477683912931,1015.1270431372541,0.00016216790465205662,0.012734516270830887,DagingSapi
94,16.55901176470587,0.5742070022521164,0.07987813053431164,567.2313254901956,0.00021458048442906535,0.01464856595128224,DagingSapi
95,12.673777777777781,0.6073954969425476,0.11044876352474599,349.704657004831,0.00036457961679385755,0.019093968073552903,DagingSapi
96,16.290267461728924,0.7208679502331136,0.09502853245391901,636.0738570980232,0.00023857910248121364,0.015446006036552416,DagingSapi
97,16.623555555555555,0.5586907921848282,0.08406037341888516,565.748154589372,0.00022539690541202828,0.015013224350952339,DagingSapi
98,13.99598981762389,0.6929835504484829,0.10772027586525687,469.90441817484424,0.0003616752568902575,0.01901776161619073,DagingSapi
99,15.387000904509621,0.5800519277567638,0.09696810585507337,526.2299608045826,0.00032421464549198,0.018005961387606604,DagingSapi
100,14.741913725490182,0.5846303183374172,0.10230576154296928,521.7918901960779,0.00028878345251826155,0.016993629762892374,DagingSapi
101,14.939167276911821,0.6373227444998756,0.0984192006692948,492.99161348816153,0.0002954815384639205,0.01718957644806644,DagingSapi
102,15.283127115059223,0.6673699705125651,0.0986655917674587,598.2492332910322,0.0002998207165219407,0.01731533183401175,DagingSapi
103,14.567947139067838,0.5950495872190538,0.08972269359956163,435.9460259568021,0.00026934691255256645,0.01641179187512949,DagingSapi
104,20.43790228371168,0.6017067830495607,0.07455196901750552,927.5432920264798,0.00018883960109988097,0.013741892195031984,DagingSapi
105,15.62241075988876,0.6416887166380817,0.08744335038013709,509.42205323193883,0.0002273282620317101,0.015077408995968442,DagingSapi
